city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Vancouver,Stanley Park Seawall,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"~9-10km flat, paved waterfront loop - almost entirely level and one of Canada's best wheelchair/stroller routes; benches, bathrooms, concessions, totem poles. Keep to the pedestrian side (bikes have their own lane).",wheelchairtraveling.com; stroller-friendly; alltrails ADA
Vancouver,Vancouver Aquarium,False,GOOD,EXCELLENT,GOOD,HIGH,"Inside Stanley Park; fully accessible with elevators to both floors, accessible restrooms, designated wheelchair spots at the beluga/sea-lion viewing and the 4D theatre. A top family pick.",wheelchairtraveling.com firsthand
Vancouver,Granville Island,True,GOOD,EXCELLENT,GOOD,HIGH,"Public Market, Kids Market and artisan shops; largely flat and accessible, reachable by the accessible AquaBus larger vessels. Buskers, food, water park for kids. Great with family.",pushtoopendoors; stroller-friendly; toursbylocals
Vancouver,Capilano Suspension Bridge Park,True,TOUGH,TOUGH,TOUGH,HIGH,"The PARK is accessibility-friendly (automatic doors, wheelchair routes, free entry for wheelchair users) BUT the suspension bridge, Cliff Walk and Treetops walkways themselves are NOT wheelchair accessible. Younger kids may need a carrier on the bridge.",pushtoopendoors; vancouvertourism
Vancouver,Grouse Mountain,True,TOUGH,GOOD,TOUGH,MEDIUM,"The Skyride gondola and the lodge/restaurant level are wheelchair accessible with designated parking and ramps, and there's a short paved trail to wildlife/shows - but the paved area is limited and zipline/heli/upper trails are not accessible. Come for views + shows.",wheelchairtraveling.com firsthand; pushtoopendoors
Vancouver,Vancouver Lookout,True,GOOD,GOOD,GOOD,MEDIUM,Downtown observation tower; an elevator takes visitors to the top and ramps lead to the entry. Easy 360 city view.,pushtoopendoors
Vancouver,Vancouver Art Gallery,False,GOOD,GOOD,GOOD,MEDIUM,"Completely wheelchair accessible with elevators to all floors, automatic entrance, accessible washrooms and Braille signage. Good rainy-day option.",pushtoopendoors
Vancouver,Gastown,True,TOUGH,GOOD,TOUGH,MEDIUM,"Historic district with the steam clock; charming but paved with cobblestones in places and some slopes, so bumpy for wheels. Walkable and full of eateries.",toursbylocals; general
Vancouver,VanDusen Botanical Garden,False,GOOD,EXCELLENT,GOOD,MEDIUM,"55-acre garden with largely accessible paths and an Elizabethan hedge maze; relaxed, scenic and stroller-friendly.",wheelchairtraveling.com; vancouvertourism
Vancouver,False Creek / Science World Seawall,False,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"Flat paved seawall loop around False Creek past Science World and Granville Island, with benches and viewpoints; excellent easy rolling/strolling and reachable by accessible AquaBus.",alltrails ADA; wheelchairtraveling.com
